experiment,bin_center,observed,no_osc,ppd_lo,ppd_med,ppd_hi
MINOS+ far detector (CC),2.125,44.0,122.65215660702968,42.929409470271956,45.1666787458248,47.659470450315915
MINOS+ far detector (CC),2.375,47.0,149.64391027565333,62.811728415566954,65.50271531592986,68.41592556161918
MINOS+ far detector (CC),2.625,86.0,173.79177896110733,84.03596862841195,86.62198852842323,89.69563524991824
MINOS+ far detector (CC),2.875,109.0,195.2809829290705,105.42316787133863,108.09464895076998,111.09394622487301
MINOS+ far detector (CC),3.125,151.0,210.87703036240043,124.06923495621284,126.66601390466164,129.61828084322045
MINOS+ far detector (CC),3.375,140.0,219.15012952633018,138.38628463477448,140.824198675976,143.6625182719316
MINOS+ far detector (CC),3.625,162.0,221.71769175725856,148.03084208259764,150.2389386278744,152.85320150105153
MINOS+ far detector (CC),3.875,156.0,219.07120244731323,153.41496902600105,155.36012932936353,157.72326437464892
MINOS+ far detector (CC),4.125,173.0,212.94798340979293,155.1668299598783,156.8829882535307,158.9649474191208
MINOS+ far detector (CC),4.375,173.0,206.54646602251412,155.86729147375308,157.39522146085403,159.2397194388858
MINOS+ far detector (CC),4.625,159.0,202.78415471447522,157.7370688464907,159.11254172567635,160.75213260904383
MINOS+ far detector (CC),4.875,169.0,199.22867667252552,159.1274864798067,160.36854060394597,161.82897779352984
MINOS+ far detector (CC),5.25,342.0,398.17606442212013,328.0991342278313,330.3078019630043,332.8871147022946
MINOS+ far detector (CC),5.75,336.0,396.41936232895455,337.4223654708594,339.30697155750363,341.5285045204594
MINOS+ far detector (CC),6.25,327.0,390.9406635611977,340.88658104372854,342.4990289504082,344.4074568981768
MINOS+ far detector (CC),6.75,313.0,373.0027147784145,331.1101987217696,332.47773153399265,334.0840610281828
MINOS+ far detector (CC),7.25,323.0,341.7372242031743,307.6953632995128,308.81813751500806,310.1279231700444
MINOS+ far detector (CC),7.75,266.0,302.25736348824194,275.2786055091621,276.1718193729102,277.213129756045
MINOS+ far detector (CC),8.25,235.0,260.62570839339514,239.68451392154373,240.3786158273394,241.19108852989245
MINOS+ far detector (CC),8.75,197.0,219.94874889967593,203.88947782836533,204.42157308563128,205.0465961985101
MINOS+ far detector (CC),9.25,154.0,183.45020565560768,171.26569555227044,171.66942874553814,172.1447962826509
MINOS+ far detector (CC),9.75,162.0,152.37214154834695,143.10739645710782,143.41437836694283,143.77624509715082
MINOS+ far detector (CC),10.5,209.0,238.44034170688306,225.67396506927355,226.09696203173849,226.59711196682798
MINOS+ far detector (CC),11.5,164.0,184.7154570921477,176.39332920293117,176.66912973949735,176.99541919627208
MINOS+ far detector (CC),12.5,193.0,156.69497601828533,150.75268257217925,150.9495951043973,151.18308111405995
MINOS+ far detector (CC),13.5,133.0,139.00776540876868,134.46523598062194,134.6159136941437,134.79467452680558
MINOS+ far detector (CC),14.5,133.0,124.73406237307093,121.17875990555845,121.29672797107811,121.43668899328623
MINOS+ far detector (CC),15.5,128.0,112.2262275412656,109.41396195665601,109.5071595510002,109.61754923043274
MINOS+ far detector (CC),16.5,112.0,100.93339198892626,98.66431073012055,98.73954393576233,98.82834259607212
MINOS+ far detector (CC),17.5,102.0,90.2846172302314,88.44652727427062,88.50746077626106,88.57947883191854
MINOS+ far detector (CC),18.5,80.0,80.68837366018109,79.18241864515811,79.23235894854147,79.29119003882816
MINOS+ far detector (CC),19.5,80.0,72.24423138522843,71.02311612292465,71.06360252209227,71.11138618364832
MINOS+ far detector (CC),21.0,127.0,124.1674376875162,122.33031620121753,122.39121829484422,122.46323673299662
MINOS+ far detector (CC),23.0,100.0,101.05916213207216,99.74715653584344,99.79064800285767,99.8418555272799
MINOS+ far detector (CC),25.0,87.0,83.47741602185694,82.51659501167276,82.54846135953417,82.5859102685676
MINOS+ far detector (CC),27.0,78.0,67.79806012808287,67.09491864466774,67.1182359610968,67.14561708447602
MINOS+ far detector (CC),29.0,55.0,56.66810456446241,56.11884811058706,56.136825056090125,56.15791389932873
MINOS+ far detector (CC),32.0,115.0,88.60786591596471,87.82697887769694,87.8523756184574,87.88229709794643
MINOS+ far detector (CC),37.0,101.0,92.15002059703222,91.44279173960693,91.46559303570714,91.4925293641619
